date,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,mean_anomaly,max_anomaly,centroid_lat,centroid_lon,month,year,day_of_year,saison
2003-06-28,202,36.07142857142857,14.940241,36.05644,1.3844638,3.4187555,10.802878,14.941832,-13.983911,6,2003,179,Saison_des_pluies
2016-08-20,202,36.07142857142857,42.340584,93.80754,13.578748,2.9613206,4.720871,13.747525,-13.970297,8,2016,233,Saison_des_pluies
1984-10-04,201,35.892857142857146,29.03182,114.91692,5.343456,5.3733816,14.042882,13.896144,-12.6324625,10,1984,278,Saison_des_pluies
2010-09-11,201,35.892857142857146,34.803463,74.779976,15.286421,3.0090601,6.1807475,13.561567,-14.633706,9,2010,254,Saison_des_pluies
2020-09-21,201,35.892857142857146,28.163778,56.406216,10.794738,3.4272287,5.9059243,14.341418,-12.452114,9,2020,265,Saison_des_pluies
2016-09-28,200,35.714285714285715,22.342485,47.68537,7.540619,3.988896,7.672991,14.92,-14.7675,9,2016,272,Saison_des_pluies
2012-09-29,200,35.714285714285715,28.281094,58.91077,7.811525,4.0499387,6.9008527,13.74625,-13.095,9,2012,273,Saison_des_pluies
2003-10-22,199,35.535714285714285,5.0070205,17.870491,0.9962576,3.9157422,8.409416,15.231784,-13.956658,10,2003,295,Saison_des_pluies
1988-08-27,199,35.535714285714285,38.658413,72.3784,14.170737,3.9925673,8.291209,14.716708,-14.797111,8,1988,240,Saison_des_pluies
2019-10-07,199,35.535714285714285,17.779196,30.399225,3.2269385,3.6577446,8.052408,13.763191,-12.941583,10,2019,280,Saison_des_pluies
1999-07-01,199,35.535714285714285,18.85669,39.966095,5.949917,3.6094947,7.83152,15.037061,-13.106155,7,1999,182,Saison_des_pluies
1999-10-08,199,35.535714285714285,22.33608,64.98665,2.6201103,3.7112803,7.703049,13.295855,-13.80716,10,1999,281,Saison_des_pluies
1997-05-31,199,35.535714285714285,9.290675,25.545202,0.64715993,3.2833877,6.234497,14.143845,-13.158919,5,1997,151,Saison_des_pluies
2023-09-04,199,35.535714285714285,29.454897,48.210533,8.995562,2.644539,4.23448,14.172739,-12.913945,9,2023,247,Saison_des_pluies
1998-10-31,197,35.17857142857143,4.2169776,18.224024,0.5949445,5.44634,15.950825,14.788706,-14.644035,10,1998,304,Saison_des_pluies
1983-06-17,196,35.0,21.84956,47.5696,2.7576315,4.4407043,10.860152,13.83801,-13.011479,6,1983,168,Saison_des_pluies
2015-10-13,196,35.0,19.831057,53.42309,4.3763847,3.7867818,7.2073693,13.118623,-13.760204,10,2015,286,Saison_des_pluies
2020-06-08,196,35.0,8.820247,23.253817,0.39116508,3.1178296,7.154055,15.047194,-12.875,6,2020,160,Saison_des_pluies
1985-07-24,196,35.0,21.497429,47.282593,7.942969,2.8597612,4.8580084,15.132653,-12.936225,7,1985,205,Saison_des_pluies
2010-09-19,195,34.82142857142857,22.66348,58.971786,9.548886,2.7006142,4.8282943,14.973718,-14.551923,9,2010,262,Saison_des_pluies
2020-10-04,194,34.64285714285714,10.52597,21.329618,4.594966,3.1251743,6.908014,15.256443,-13.405928,10,2020,278,Saison_des_pluies
2020-07-17,194,34.64285714285714,31.25752,76.34829,10.419542,3.3746576,6.444784,13.859536,-13.902061,7,2020,199,Saison_des_pluies
1999-06-06,194,34.64285714285714,12.941056,26.255625,0.8150127,3.0059745,5.799538,13.814433,-13.824742,6,1999,157,Saison_des_pluies
2009-10-17,193,34.464285714285715,7.7954297,23.40087,1.7045145,4.4631486,9.424987,14.957902,-12.618524,10,2009,290,Saison_des_pluies
2021-10-30,193,34.464285714285715,6.668286,31.10869,0.3770712,3.8291008,7.588361,13.89702,-13.773964,10,2021,303,Saison_des_pluies
1989-08-24,193,34.464285714285715,36.244316,84.86627,13.93965,3.9657621,6.7740974,15.254534,-14.9501295,8,1989,236,Saison_des_pluies
2005-09-03,193,34.464285714285715,36.164963,59.04921,19.736126,2.7299585,4.4369445,13.482513,-14.051166,9,2005,246,Saison_des_pluies
2019-10-08,192,34.285714285714285,14.26682,42.537888,2.915737,3.559932,7.272014,14.425781,-13.438802,10,2019,281,Saison_des_pluies
2010-10-17,191,34.10714285714286,8.930434,39.752605,1.2908183,5.505137,13.190875,15.467932,-14.563481,10,2010,290,Saison_des_pluies
2006-09-02,191,34.10714285714286,26.821276,73.27029,11.535269,3.231805,6.7562037,15.549084,-14.487565,9,2006,245,Saison_des_pluies
2000-10-13,189,33.75,9.566157,26.47039,2.0567393,3.2305346,10.707635,14.549603,-14.140873,10,2000,287,Saison_des_pluies
1983-06-19,189,33.75,17.173042,38.064526,1.6986853,5.0843506,8.965149,15.032408,-12.916005,6,1983,170,Saison_des_pluies
1999-08-14,189,33.75,28.061726,69.60001,12.207554,2.9564738,5.484037,15.058863,-14.175264,8,1999,226,Saison_des_pluies
1985-07-19,188,33.57142857142857,19.319887,34.72104,9.442132,3.4107664,6.8554196,15.68218,-14.264627,7,1985,200,Saison_des_pluies
2022-10-09,188,33.57142857142857,12.983367,24.916014,2.4545329,3.219532,6.684769,14.0970745,-14.238032,10,2022,282,Saison_des_pluies
2017-06-28,188,33.57142857142857,15.031904,37.165905,2.740329,2.9099464,6.1907372,14.853724,-14.0970745,6,2017,179,Saison_des_pluies
1994-07-21,188,33.57142857142857,25.489206,51.11,9.920209,3.0946844,5.657279,14.4029255,-13.136968,7,1994,202,Saison_des_pluies
2020-09-19,188,33.57142857142857,26.699053,49.541195,11.609977,3.1741254,5.4718328,14.517287,-14.985373,9,2020,263,Saison_des_pluies
2002-09-08,188,33.57142857142857,24.146048,45.362743,11.016487,2.7705467,4.5102906,14.80984,-12.654255,9,2002,251,Saison_des_pluies
1993-09-22,187,33.39285714285714,26.051617,47.445972,10.353999,3.6699023,7.2517247,15.162434,-14.940508,9,1993,265,Saison_des_pluies
2009-10-18,186,33.214285714285715,6.381866,15.67481,1.1188836,4.0632424,10.662298,15.232527,-13.803763,10,2009,291,Saison_des_pluies
1984-09-20,186,33.214285714285715,25.893568,46.555065,11.2702675,3.4902718,8.090178,14.81586,-13.950269,9,1984,264,Saison_des_pluies
2002-07-06,185,33.035714285714285,24.232042,61.456757,4.0554013,4.719647,11.34164,15.064189,-14.610135,7,2002,187,Saison_des_pluies
2010-10-15,185,33.035714285714285,9.840829,27.669172,1.6371647,3.227033,5.8708982,14.396622,-12.979054,10,2010,288,Saison_des_pluies
2021-10-25,183,32.67857142857143,11.149857,29.39672,0.79014623,4.4308224,8.609644,13.650956,-13.854508,10,2021,298,Saison_des_pluies
1985-10-31,182,32.5,4.8274517,15.3146925,0.54900515,4.4707837,9.215302,14.267858,-14.010989,10,1985,304,Saison_des_pluies
2004-06-10,182,32.5,11.180604,22.097013,1.855667,3.4540691,7.1362686,14.751373,-13.322803,6,2004,162,Saison_des_pluies
1981-07-05,182,32.5,20.613466,40.48142,6.072301,2.774348,4.748575,14.273352,-14.28022,7,1981,186,Saison_des_pluies
1991-10-09,181,32.32142857142858,11.513477,28.40994,2.8970683,3.6814868,11.220324,14.655387,-14.256215,10,1991,282,Saison_des_pluies
2023-05-31,181,32.32142857142858,11.266039,21.835302,2.4941494,2.8710432,4.6907635,13.438536,-13.031077,5,2023,151,Saison_des_pluies
1999-07-12,180,32.142857142857146,21.380054,47.242462,7.580642,4.327249,10.2075405,15.616667,-14.555555,7,1999,193,Saison_des_pluies
2012-05-19,180,32.142857142857146,9.211922,20.423733,0.43251437,4.7156305,10.133553,13.133333,-13.379167,5,2012,140,Saison_des_pluies
2021-08-15,180,32.142857142857146,25.789513,40.333237,13.945896,3.1320856,5.3397784,15.576389,-14.845834,8,2021,227,Saison_des_pluies
1989-10-26,179,31.96428571428571,9.560653,36.701225,0.8893249,3.8802319,8.691151,13.995111,-15.261871,10,1989,299,Saison_des_pluies
2004-11-07,179,31.96428571428571,1.2376603,6.004444,0.14774133,3.7847383,7.3455353,14.532822,-13.909916,11,2004,312,Saison_seche
2012-08-01,178,31.785714285714285,30.33637,50.303444,12.508376,4.0619893,7.084473,15.426967,-12.738764,8,2012,214,Saison_des_pluies
2021-08-02,177,31.607142857142854,29.45397,54.328472,11.885593,4.3510337,8.864437,15.591102,-14.627825,8,2021,214,Saison_des_pluies
1998-05-16,176,31.428571428571427,1.9642174,8.98679,0.016662097,8.28903,21.11661,15.058239,-12.778409,5,1998,136,Saison_des_pluies
1985-09-20,176,31.428571428571427,30.122435,54.69735,11.021329,4.0409336,10.287627,14.700284,-15.193182,9,1985,263,Saison_des_pluies
1981-06-22,176,31.428571428571427,21.003822,50.937984,4.4676976,3.4938118,6.7090487,13.650568,-14.596591,6,1981,173,Saison_des_pluies
1987-08-06,176,31.428571428571427,33.329353,79.93212,10.163626,3.4541771,6.5592995,14.747159,-15.1875,8,1987,218,Saison_des_pluies
2022-06-23,176,31.428571428571427,16.420273,27.642412,4.2284207,2.6818724,4.6400723,13.74858,-14.752841,6,2022,174,Saison_des_pluies
2000-06-21,176,31.428571428571427,16.357832,26.3436,2.9832034,2.672857,4.185206,13.761364,-14.082386,6,2000,173,Saison_des_pluies
2023-09-07,175,31.25,21.406284,42.157005,12.338879,2.5002337,3.5147948,15.226429,-13.849286,9,2023,250,Saison_des_pluies
1986-05-07,174,31.071428571428573,4.4402876,23.785471,0.01247279,7.813777,25.120504,14.2672415,-12.308908,5,1986,127,Saison_des_pluies
